Brand,Name,Color,RAM,ROM,Cam-1,Cam-2,Display,Price,URL
OnePlus,"OnePlus Nord (Gray Onyx, 256 GB)",Gray Onyx,12 GB  , 256 GB ,48MP + 8MP , 32MP + 8MP Dual Front Camera,16.36 cm (6.44 inch) Full HD+ Display,"₹26,990",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNYUOSE&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)",Gray Sierra,8 GB  , 128 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹26,999",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itm056efc22a68bf?pid=MOBGHBNGRGM45GET&lid=LSTMOBGHBNGRGM45GETP7U1XB&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBNGRGM45GET.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Blue Haze, 256 GB)",Blue Haze,12 GB  , 256 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹34,929",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-256-gb/p/itmc88e4a702db46?pid=MOBGHBNGDSKSVHUP&lid=LSTMOBGHBNGDSKSVHUPJNVMKX&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBNGDSKSVHUP.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 256 GB)",Gray Sierra,12 GB  , 256 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹34,999",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-256-gb/p/itmd16c63dadf5c5?pid=MOBGDBFRAPSY7GFZ&lid=LSTMOBGDBFRAPSY7GFZAS37JI&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDBFRAPSY7GFZ.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Green Wood, 256 GB)",Green Wood,12 GB  , 256 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹31,999",https://www.flipkart.com/oneplus-nord-2-5g-green-wood-256-gb/p/itmd16c63dadf5c5?pid=MOBGE7D9U2RVQPH7&lid=LSTMOBGE7D9U2RVQPH7FAO1OO&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGE7D9U2RVQPH7.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Blue Haze, 256 GB)",Blue Haze,12 GB  , 256 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹31,999",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-256-gb/p/itmd16c63dadf5c5?pid=MOBGDBFHW7596ZTU&lid=LSTMOBGDBFHW7596ZTUKHJ5FP&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDBFHW7596ZTU.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord CE 5G (Charcoal Ink, 128 GB)",Charcoal Ink,6 GB  , 128 GB ,64MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹22,990",https://www.flipkart.com/oneplus-nord-ce-5g-charcoal-ink-128-gb/p/itmc4c02029d9c90?pid=MOBGDM46BMYENNJN&lid=LSTMOBGDM46BMYENNJNXPLZJZ&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDM46BMYENNJN.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Blue Haze, 128 GB)",Blue Haze,8 GB  , 128 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹29,738",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-128-gb/p/itmd16c63dadf5c5?pid=MOBGDBFJXFJPVWKA&lid=LSTMOBGDBFJXFJPVWKAXAMS0M&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDBFJXFJPVWKA.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord CE 5G (Blue Void, 128 GB)",Blue Void,8 GB  , 128 GB ,64MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹24,990",https://www.flipkart.com/oneplus-nord-ce-5g-blue-void-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4UUD2FDBPH&lid=LSTMOBGDM4UUD2FDBPHSFBYDR&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDM4UUD2FDBPH.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Blue Haze, 128 GB)",Blue Haze,6 GB  , 128 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹25,990",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-128-gb/p/itm24e676bc53c9c?pid=MOBGQKKMSJXTZFDY&lid=LSTMOBGQKKMSJXTZFDYEGWFPG&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGQKKMSJXTZFDY.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Gray Sierra, 128 GB)",Gray Sierra,8 GB  , 128 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹29,999",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itmd16c63dadf5c5?pid=MOBGDBFFA5EGECHQ&lid=LSTMOBGDBFFA5EGECHQD6EIOM&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGDBFFA5EGECHQ.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (PAC-MAN, 256 GB)",PAC-MAN,12 GB  , 256 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹32,990",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmd16c63dadf5c5?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTXSUHIR&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2 5G (Blue Haze, 128 GB)",Blue Haze,8 GB  , 128 GB ,50MP Rear Camera,-,16.33 cm (6.43 inch) Display,"₹29,990",https://www.flipkart.com/oneplus-nord-2-5g-blue-haze-128-gb/p/itmc88e4a702db46?pid=MOBGHBNG8XSGV4PG&lid=LSTMOBGHBNG8XSGV4PGRPMSS7&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGHBNG8XSGV4PG.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
OnePlus,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)",Gray Shadow,8 GB  , 128 GB ,50MP Rear Camera,-,17.02 cm (6.7 inch) Display,"₹28,040",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itm09f5278e2a599?pid=MOBGNQHZG3HBMRDW&lid=LSTMOBGNQHZG3HBMRDWRSYL6K&marketplace=FLIPKART&q=OnePlusNord&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=bbac2505-8bb6-47f7-a92d-e763ae8105f5.MOBGNQHZG3HBMRDW.SEARCH&ppt=hp&ppn=homepage&ssid=bzjsul73cw0000001687232979470&qH=3b2adea6bf6c92e3
